phase	description	train_draws	test_draws	features	model	avg_hit_rate	total_matches	next_prediction
1	Phase 1 Baseline - Random Forest (Freq10, Freq30, Gap)	1173	50	Frequency_last_10, Frequency_last_30, Gap	RandomForestClassifier(n_estimators=200, max_depth=10)	0.8000	40	9,16,17,25,40,42
2	Phase 2 - Random Forest + Macro Patterns (Sum, Odd/Even filtering)	1173	50	Freq10, Freq30, Gap + Macro sum/odd-even combo filter	RandomForestClassifier(n_estimators=200, max_depth=10) + macro selection	0.7400	37	5,9,16,25,40,42
3	Phase 3 - XGBoost + Interaction Features (AC, Hot Pairs, Consecutive)	1173	50	Freq10, Freq30, Gap, avg_AC, consec_rate, max_pair_strength, avg_pair_strength + combo AC/pair/consec scoring	XGBClassifier(n_estimators=300, max_depth=6) + combo selection	0.6800	34	9,11,21,26,27,39
4	Phase 4 - XGBoost + Rich Time-Series (Rolling Freq 5/10/15/30/50, Gap stats, Momentum)	1173	50	Freq5,Freq10,Freq15,Freq30,Freq50,CurrentGap,PrevGap,HistAvgGap,Mom_10_50,Mom_10_30,Mom_15_50,RecencyScore	XGBoost(n_estimators=300, max_depth=4, lr=0.2)	0.9600	48	14,17,33,37,40,42
5	Phase 5 - XGBoost + Optuna (50 trials) + 5-fold TSCV + SHAP	1123	50	Freq5,Freq10,Freq15,Freq30,Freq50,CurrentGap,PrevGap,HistAvgGap,Mom_10_50,Mom_10_30,Mom_15_50,RecencyScore	XGBoost Optuna best: {'n_estimators': 463, 'max_depth': 10, 'learning_rate': 0.082, 'subsample': 0.9997, 'colsample_bytree': 0.8194, 'gamma': 2.3744, 'min_child_weight': 2, 'reg_alpha': 4.7695, 'reg_lambda': 1.0979}	0.0600	44	4,5,8,24,32,37
5	Phase 5 - XGBoost + Optuna (50 trials) + 5-fold TSCV + SHAP	1123	50	Freq5,Freq10,Freq15,Freq30,Freq50,CurrentGap,PrevGap,HistAvgGap,Mom_10_50,Mom_10_30,Mom_15_50,RecencyScore	XGBoost Optuna best: {'n_estimators': 357, 'max_depth': 7, 'learning_rate': 0.0117, 'subsample': 0.8038, 'colsample_bytree': 0.5853, 'gamma': 0.3253, 'min_child_weight': 10, 'reg_alpha': 4.8282, 'reg_lambda': 4.042}	1.0000	50	4,5,10,24,32,44
6	Phase 6 - LSTM (2 layers, hidden=64, dropout=0.5, weight_decay=1e-4, early_stop)	1023	50	12 Phase5 features per number, seq_len=10, shared LSTM over 45 numbers	LotteryLSTM(input=12, hidden=64, layers=2, dropout=0.5) + EarlyStopping	0.7200	36	1,9,16,24,30,33
7	Phase 7 - Hybrid Ensemble (LogisticRegression L2 + XGBoost, soft voting, 70/30 weight)	1123	50	12 Phase5 features (Freq5-50, Gap stats, Momentum, Recency)	VotingClassifier(LR(C=1.0,L2) + XGBoost(Phase5 best)), voting=soft, weights=[0.3,0.7]	0.8400	42	4,10,24,30,32,44
